Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
秋,九月,帝幸哥來捕象,又幸哥覽,還京師.	mùa thu , tháng chín , vua ngự đến kha lai để bắt voi , lại ngự đến kha lãm , rồi về kinh sư .
春,三月,帝幸哥覽海口耕籍田,還京師.	mùa xuân , tháng ba vua ngự ra cửa biển kha lãm cày ruộng tịch điền rồi về kinh sư .
及還,詔𭛁銅七十五百六十斤鑄彌勒佛,海清,功德二菩薩,及鍾置于其院.	khi về , xuống chiếu phát bảy nghìn năm trăm sáu mươi cân đồng trong kho để đúc tượng phật di lặc và hai vị bồ tát hải thanh và công đức cùng chuông để ở viện ấy .
是歲,儂智髙與其母阿儂由雷火洞復據儻猶州,改其州曰大曆國.	năm ấy , nùng trí cao cùng với mẹ là a nùng từ động lôi hoả lại về chiếm cứ châu thảng do , đổi châu ấy làm nước đại lịch .
冬,十月,帝幸僊逰山觀起慈氏天福院.	mùa đông , tháng mười , vua ngự đến núi tiên du xem làm viện từ thị thiên phúc .
諸軍士迯林野,劫人財物者杖一百,刺靣三十字.	các quân sĩ trước bị tội đồ nếu trốn vào núi rừng đồng nội cướp của người thì xử một trăm trượng , thích vào mặt ba mươi chữ .
六月,殿前指揮使丁禄,馮律謀反.	tháng sáu , điện tiền chỉ huy sứ đinh lộc và phùng luật mưu làm phản .
九月,杖欠盟誓者各五十.	tháng chín , phạt đánh năm mươi trượng những người vắng mặt trong buổi hội thề .
十一月,詔威明侯日光知乂安州.	tháng mười một , xuống chiếu cho uy minh hầu nhật quang làm tri châu nghệ an .
遣員外郎杜慶,梁茂才遣馴象于宋脩舊好也.	sai viên ngoại lang đỗ khánh và lương mậu tài đem voi thuần sang biếu nhà tống để tiếp tục sự thông hiếu cũ .
詔捕禄律及其黨下吏治.	xuống chiếu bắt lộc , luật và bè đảng giao cho quan trị tội .
開皇王聽斷,禄律並伏誅.	vua sai tướng đi đánh , bắt sống được trí cao đem về kinh sư .
文州反.	châu văn làm phản .
守鎮寨迯亡者如之.	người con trấn trại mà bỏ trốn cũng phải tội như thế .
帝命將討之,生擒智髙歸京師.	
	khai hoàng vương xét xử , bọn lộc , luật đều phải giết .

Paragraph 117
十一月,詔諸年七十以上,八十以下,十歲以上,十五歲以下,及身有弱疾,以至皇家大功期親以上,犯罪者許贖,犯十惡者不在.	tháng mười một , xuống chiếu cho những người từ bảy mươi tuổi trở lên , tám mươi tuổi trở xuống , từ mười tuổi trở lên , mười lăm tuổi trở xuống và những người ốm yếu cho đến các thân thuộc nhà vua từ hạng đại công trở lên phạm tội thì cho chuộc nếu phạm tội thập ác thì không được theo lệ này .
冬,十月,朔,以開皇王為都綂大元帥討文州.	mùa đông , tháng mười , ngày mồng một , cho khai hoàng vương làm đô thống đại nguyên soái đi đánh châu văn .
二月,帝御天慶殿,詔官職三人其保一人,如有匿藏大男,三人者同罪.	tháng hai , vua ngự ở điện thiên khánh , xuống chiếu cho các quan chức cứ ba người cùng đảm bảo cho một người , nếu có ai chứa giấu đại nam thì ba người bị tội cả .
閏月,詔:諸夜入人家,奸人妻妾,主人登時格殺者勿論.	tháng chín , nhuận , xuống chiếu kẻ nào ban đêm vào nhà gian dâm vợ cả , vợ lẽ người ta , người chủ đánh chết , ngay lúc bấy giờ thì không bị tội .
如管甲主都,及徵税人相與過例,征取雖已歴時月而告者,管甲主都與徵税人同罪.	nếu quản giáp , chủ đô và người thu thuế thông đồng nhau thu quá lệ , tuy xảy ra đã lâu , nhưng có người tố cáo thì quản giáp , chủ đô và người thu thuế cũng phải tội như nhau .
詔樞密院阮珠令諸路迯人,各認地方橋道,築土為堠,置木.	xuống chiếu cho khu mật viện là nguyễn châu hạ lệnh cho những người trốn tránh ở các lộ đều phải nhận lấy các cầu đường ở địa phương , đắp đất thành ụ mốc , trên cắm biển gỗ quý mùi , minh đạo năm thứ hai , ( tống khánh lịch năm thứ ba ) .
三月,朔,以開皇王為都綂大元帥討愛州.	tháng ba , ngày mồng một , cho khai hoàng vương làm đô thống đại nguyên soái đi đánh châu ái .
過者以盗論,百姓有吿訴者,復其家三年,京城人吿者,以其物賞之.	lấy quá thì xử theo tội ăn trộm , trăm họ có người tố cáo được tha phú dịch cho cả nhà trong ba năm , người ở kinh thành mà cáo giác thì thưởng cho bằng hiện vật thu được .
詔百姓賦税,許輸官十分,外别取一分,謂之"横頭".	xuống chiếu về việc phú thuế của trăm họ , cho phép người thu , ngoài mười phần phải nộp quan được lấy thêm một phần nữa , gọi là " hoành đầu " .
至是,治獄之法,坦然甚明,故有明道改元之命,及鑄明道錢.	đến đây phép xử án được bằng thẳng rõ ràng , cho nên mới đổi niên hiệu là minh đạo và đúc tiền minh đạo .
訟煩擾,法吏拘律文,務為深刻,甚者或至枉濫.	xuống chiếu đổi niên hiệu là minh đạ phiền nhiễu , quan lại giữ luật pháp câu nệ luật văn , cốt làm cho khắc nghiệt , thậm chí có người bị oan uổng quá đáng .
奉乾王為都綂元帥討文州.	phụng càn vương làm đô thống nguyên soái đi đánh châu văn .
書成,詔頒行之,民以為便.	sách làm xong , xuống chiếu ban hành , dân lấy làm tiện .
文州平,奉乾王獻所獲良馬四.	dẹp yên châu văn , phụng càn vương dâng bốn con ngựa tốt bắt được .
春,正月,愛州叛.	mùa xuân , tháng giêng , châu ái làm phản .
是歲,天下大飢.	năm ấy , thiên hạ đói to .
文州叛.	châu văn làm phản .
癸未,明道二年,[宋慶曆三年].	vua lấy làm thương xót , sai trung thư san định luật lệnh , châm chước cho thích dụng với thời thế , chia ra môn loại , biên thành điều khoản , làm thành sách hình thư của một triều đại , để cho người xem dễ hiểu .
詔改元明道元年.	
帝為之惻,然命中書刪定律令,參酌時世之所適用者,敘其門類,編其條貫,别為一代刑書,使觀者易知.	

Paragraph 118
秋,八月,詔諸賣百姓黃男為人家奴已賣者,杖一百,刺靣二十字;未賣而已為人後者,杖如之,刺靣十字;知情買者,󰦭一等.	mùa thu , tháng tám , xuống chiếu rằng kẻ nào đem bán hoàng nam trong dân gian làm gia nô cho người ta , đã bán rồi thì đánh một trăm trượng , thích vào mặt hai mươi chữ , chưa bán mà đã làm việc cho người thì cũng đáng trượng như thế , thích vào mặt mười chữ ; người nào biết chuyện mà cũng mua thì xử giảm một bậc .
九月,朔,使魏徵如廣源州賜儂智髙都印,拜為太保.	tháng chín , ngày mồng một , sai nguỵ trưng đến châu quảng nguyên , ban cho nùng trí cao đô ấn , phong làm thái bảo .
夏,四月,占城風浪賊[謂乘風浪寇掠]掠取海邉民.	mùa hạ , tháng bốn , " giặc gió sóng " ( nghĩa là nhân gió sóng mà đi cướp ) chiêm thành cướp bóc dân ven biển .
史臣吳士連曰:占城風浪賊掠我海邉民,問罪之師其可以乎,盖正其罪名也.	sử thần ngô sĩ liên nói : bọn " giặc sóng gió " chiêm thành cướp phá dân ven biển nước ta , đem quân hỏi tội là phải , vì như thế là đúng tội danh .
帝幸武寕州松山古寺,見其人迹萧然,基址暴露,中有石柱𣣱斜欲傾.	vua ngự đến chùa cổ tùng sơn ở châu vũ ninh , thấy dấu người vắng vẻ , nền móng nứt hở , trong chùa có cái cột đá lệch nghiêng sắp đổ .
黎文休曰:前年儂存福之叛逆,僣號開國,置官属,太宗既罪存福而遺其子智髙.	lê văn hưu nói : năm trước , nùng tồn phúc phản nghịch , tiếm hiệu , lập nước , đặt quan thuộc , thái tông đã trị tội tồn phúc mà tha cho con là trí cao .
帝於是决意伐占城.	vua từ đấy quyết ý đánh chiêm thành .
帝異之,命儒臣作賦以顯其靈異.	vua lấy làm lạ , sai nho thần làm phú để nêu rõ việc linh dị .
故也何者?	sao thế ?
"對曰:"臣等以為:陛下之德雖加,而威未廣.	" các quan đáp : " bọn thần cho rằng đó là vì đức của bệ hạ tuy có đến nhưng uy thì chưa rộng .
賜名載天,廣勝,追風,日馭.	vua đặt tên cho ngựa là tái thiên , quảng thắng , truy phong , nhật ngự .
臣恐海内異姓諸侯皆如占城奚,啻占人哉".	bọn thần e rằng các chư hầu khác họ trong nước đều như chiêm thành cả , há chỉ riêng người chiêm mà thôi đâu " .
之,未嘗信威耀武以征之,非所以威遠人也.	còn nếu nói là người xa không phục , thì cứ lấy đức hoá mà cảm cho họ theo về , há phải đem quân đi xa !
陛下即位以來,彼逆命不庭,惟布德施惠以懷.	vì từ khi bệ hạ lên ngôi đến giờ , họ trái mệnh không đến chầu , bệ hạ chỉ ban ơn để vỗ về , chưa từng ra oai dùng võ để đánh phạt , đó không phải là cách làm cho người ta sợ oai .
意朕之威德不加乎?	uy đức của trẫm không đến họ chăng ?
命陶處中鎮之,乃平.	vua sai đào xử trung đi đánh , dẹp yên được .
抑彼自恃山川之阻險乎?	hay là họ cậy có núi sông hiểm trở chăng ?
苟云遠人不服,則脩文德以來之,𡸈可勒兵於遠哉?	vua thở than , ý muốn sai sửa chữa , nhưng kịp nói thì cột đá bỗng tự đứng thẳng lại .
帝慨.	
言未𭛁,石柱忽然復正.	

Paragraph 119
帝以明年將伐占城,詔造龍,鳳,魚,蛇,虎,豹,鸚鵡戰艦數百餘艘.	vua định sang năm sẽ đi đánh chiêm thành , xuống chiếu sai đóng các chiến thuyền hiệu long , phượng , ngư , xà , hổ , báo , anh vũ hơn vài trăm chiếc .
太宗既赦其罪,又以州郡附盖之,賜印封為太保,則賞罰無章.	thái tông đã tha tội , lại cho thêm mấy châu quận nữa , ban cho ấn tín , phong làm thái bảo , như thế là thưởng phạt không có phép tắc gì .
帝幸古覽行營,詔諸強盗百姓禾秧財物,得財杖一百,不得財而傷人者,以流罪論.	vua đến hành dinh cổ lãm xuống chiếu rằng kẻ nào ăn cướp lúa mạ và tài vật của dân , nếu đã lấy rồi thì xử một trăm trượng , nếu chưa lấy được nhưng làm cho người bị thương thì xử tội lưu .
詔軍士迯亡踰年者,杖一百,刺靣五十字,不满年者,從輕罪之,復㱕者許還舊處.	xuống chiếu rằng quân sĩ bỏ trốn quá một năm xử một trăm trượng , thích vào mặt năm mươi chữ , chưa đến một năm thì xử theo mức tội nhẹ , kẻ nào quay lại thì cho về chỗ cũ .
春,正月,𭛁府庫噐械頒授諸軍.	mùa xuân , tháng giêng , phát khí giới trong kho ban cho các quân .
十二月,詔軍士繕甲治兵,約以明年,春二月伐占城.	tháng mười hai , xuống chiếu cho quân sĩ sửa soạn giáp binh , hẹn đến mùa xuân , tháng hai sang năm đi đánh chiêm thành .
先雨潤,今陛下欲興師征討不庭,而兵噐自動者,是神人默會,物類相應之兆.	vua xuống chiếu cho các quan nghị bàn , đều nói rằng : thuẫn là đồ binh khí , thần nghe nói có gió thì chim loan liệng trước , sắp có mưa thì đá tảng ướt trước , nay bệ hạ muốn đem quân đánh dẹp kẻ không đến chầu mà binh khí tự rung động , đó là cái điềm thần và người lặng hợp , các vật ứng nhau .
是日,有司以所祀山神少牢得膽大如柚子献之.	ngày ấy hữu ty đem dâng túi mật to bằng quả bưởi lấy được khi làm cỗ thiếu lao cúng thần núi .
癸卯,帝親征占,以開皇王為京師留守.	ngày quý mão , vua thân đi đánh chiêm thành , cho khai hoàng vương làm lưu thủ kinh sư .
其父之不軐,則其罪大矣,誅之可也,奪其爵邑降為庶人亦可也.	nay trí cao lại noi theo việc trái phép của cha thì tội lớn lắm , giết đi là phải , nếu lấy lại tước và áp phong , giáng là thứ dân , thì cũng phải .
冬,十月,長春殿御楯自動.	mùa đông , tháng mười , cái thuẫn của vua ở điện trường xuân tự nhiên rung động .
盖溺佛氏之小仁,而忘有國之大義也.	đó là vì thái tông say đắm cái lòng nhân nhỏ của nhà phật mà quên đi mất cái nghĩa lớn của người làm vua .
是歲,復鑄明道錢頒賜文武臣僚.	năm ấy lại đúc tiền minh đạo ban cho các quan văn võ .
書曰:"惟動丕應徯志役既先志而應動何疑之有".	kinh thư nói : " mình động thì mọi vật ứng theo mà đón trước ý mình .
月以後,天感聖武宋慶曆四年].	giáp thân , năm thứ ba , ( từ tháng mười một trở về sau là niên hiệu thiên cảm thánh vũ năm thứ nhất ; tống khánh lịch năm thứ bốn ) .
及其為廣源之患,乃出其兵以援鄰為辝,何以異放虎兕使之噬人,而徐救之哉?	đến khi trí cao gây tai hoạ ở quảng nguyên , lại đem quân đi đánh , mượn cớ là viện trợ láng giềng , có khác gì thả cọp beo cho cắn người , rồi từ từ đến cứu không ?
行幸不從駕者,杖亦如之,刺靣十字.	quân sĩ không theo xa giá cũng xử trượng như thế và thích vào mặt mười chữ .
詔群臣商議.	vua ban cho là phải .
今,智髙復𨂻.	
帝然之.	

Paragraph 120
󰱏馴象三十餘,生擒五千餘人,其餘為官軍所殺,血𡍼兵刀,尸塞原野.	đoạt được hơn ba mươi voi thuần , bắt sống hơn năm nghìn người , còn thì bị quan quân giết chết , máu nhuộm gươm giá , xác chất đầy đồng .
