Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
姜维闻司马昭弑了曹髦，立了曹奂，喜曰：“吾今日伐魏，又有名矣。	Khương duy văn Tư Mã chiêu thí liễu tào mao, lập liễu tào hoán, hỉ viết: "Ngô kim nhật phạt ngụy, hựu hữu danh hĩ.
”遂发书入吴，令起兵问司马昭弑君之罪；一面奏准后主，起兵十五万，车乘数千辆，皆置板箱于上；令廖化、张翼为先锋：化取子午谷，翼取骆谷；维自取斜谷，皆要出祁山之前取齐。	" Toại phát thư nhập ngô, lệnh khởi binh vấn Tư Mã chiêu thí quân chi tội; nhất diện tấu chuẩn hậu chủ, khởi binh thập ngũ vạn, xa thừa sổ thiên lượng, giai trí bản tương vu thượng; lệnh liêu hóa, trương dực vi tiên phong: hóa thủ tử ngọ cốc, dực thủ lạc cốc; duy tự thủ tà cốc, giai yếu xuất kì sơn chi tiền thủ tề.
三路兵并起，杀奔祁山而来。	Tam lộ binh tịnh khởi, sát bôn kì sơn nhi lai.
时邓艾在祁山寨中，训练人马，闻报蜀兵三路杀到，乃聚诸将计议。参军王瓘曰：“吾有一计，不可明言，现写在此，谨呈将军台览。	Thời đặng ngải tại kì sơn trại trung, huấn luyện nhân mã, văn báo thục binh tam lộ sát đáo, quân vương quán viết: "Ngô hữu nhất kế, bất khả minh ngôn, hiện tả tại thử, cẩn trình tướng quân đài lãm.
”艾接来展看毕，笑曰：“此计虽妙，只怕瞒不过姜维。	" Ngải tiếp lai triển khán tất, tiếu viết: "Thử kế tuy diệu, chỉ phạ man bất quá khương duy.
”瓘曰：“某愿舍命前去。	" Quán viết: "Mỗ nguyện xá mệnh tiền khứ.
”艾曰：“公志若坚，必能成功。	" Ngải viết: "Công chí nhược kiên, tất năng thành công.
”遂拨五千兵与瓘。	" Toại bát ngũ thiên binh dữ quán.
瓘连夜从斜谷迎来，正撞蜀兵前队哨马。	Quán liên dạ tòng tà cốc nghênh lai, chánh chàng thục binh tiền đội tiếu mã.
瓘叫曰：“我是魏国降兵，可报与主帅。	Quán khiếu viết: "Ngã thị ngụy quốc hàng binh, khả báo dữ chủ soái.
”	" quân mã, nghe tin quân Thục ba mặt kéo đến, bèn hội các tướng

Paragraph 382
哨军报知姜维，维令拦住余兵，只教为首的将来见。	Tiếu quân báo tri khương duy, duy lệnh lan trụ dư binh, chỉ giáo vi thủ đích tương lai kiến.
瓘拜伏于地曰：“某乃王经之侄王瓘也。	Quán bái phục vu địa viết: "Mỗ nãi vương kinh chi chất vương quán dã.
近见司马昭弑君，将叔父一门皆戮，某痛恨入骨。	Cận kiến Tư Mã chiêu thí quân, tương thúc phụ nhất môn giai lục, mỗ thống hận nhập cốt.
今幸将军兴师问罪，故特引本部兵五千来降。	Kim hạnh tướng quân hưng sư vấn tội, cố đặc dẫn bổn bộ binh ngũ thiên lai hàng.
愿从调遣，剿除奸党，以报叔父之恨。	Nguyện tòng điều khiển, tiễu trừ gian đảng, dĩ báo thúc phụ chi hận.
”维大喜，谓瓘曰：“汝既诚心来降，吾岂不诚心相待？	" Duy đại hỉ, vị quán viết: "Nhữ kí thành tâm lai hàng, ngô khởi bất thành tâm tương đãi?
吾军中所患者，不过粮耳。	Ngô quân trung sở hoạn giả, bất quá lương nhĩ.
今有粮车数千，现在川口，汝可运赴祁山。	Kim hữu lương xa sổ thiên, hiện tại xuyên khẩu, nhữ khả vận phó kì sơn.
吾只今去取祁山寨也。	Ngô chỉ kim khứ thủ kì sơn trại dã.
”瓘心中大喜，以为中计，忻然领诺。	" Quán tâm trung đại hỉ, dĩ vi trúng kế, hãn nhiên lĩnh nặc.
姜维曰：“汝去运粮，不必用五千人，但引三千人去，留下二千人引路，以打祁山。	Khương duy viết: "Nhữ khứ vận lương, bất tất dụng ngũ thiên nhân, đãn dẫn tam thiên nhân khứ, lưu hạ nhị thiên nhân dẫn lộ, dĩ đả kì sơn.
”瓘恐维疑惑，乃引三千兵去了。	" Quán khủng duy nghi hoặc, nãi dẫn tam thiên binh khứ liễu.
维令傅佥引二千魏兵随征听用。	Duy lệnh phó thiêm dẫn nhị thiên ngụy binh tùy chinh thính dụng.
忽报夏侯霸到。	Hốt báo hạ hầu bá đáo.
霸曰：“都督何故准信王瓘之言也？	Bá viết: "Đô đốc hà cố chuẩn tín vương quán chi ngôn dã?
吾在魏，虽不知备细，未闻王瓘是王经之侄。	Ngô tại ngụy, tuy bất tri bị tế, vị văn vương quán thị vương kinh chi chất.
其中多诈，请将军察之。	Kì trung đa trá, thỉnh tướng quân sát chi.
”维大笑曰：“我已知王瓘之诈，故分其兵势，将计就计而行。	" Duy đại tiếu viết: "Ngã dĩ tri vương quán chi trá, cố phân kì binh thế, tương kế tựu kế nhi hành.
”霸曰：“公试言之。	" Bá viết: "Công thí ngôn chi.
”维曰：“司马昭奸雄比于曹操，既杀王经，灭其三族，安肯存亲侄于关外领兵？	" Duy viết: "Tư Mã chiêu gian hùng bỉ vu tào thao, kí sát vương kinh, diệt kì tam tộc, an khẳng tồn thân chất vu quan ngoại lĩnh binh?
故知其诈也。	Cố tri kì trá dã.
仲权之见，与我暗合。	Trọng quyền chi kiến, dữ ngã ám hợp.
”于是姜维不出斜谷，却令人于路暗伏，以防王瓘奸细。	" Vu thị khương duy bất xuất tà cốc, khước lệnh nhân vu lộ ám phục, dĩ phòng vương quán gian tế.
不旬日，果然伏兵捉得王瓘回报邓艾下书人来见。	Bất tuần nhật, quả nhiên phục binh tróc đắc vương quán hồi báo đặng ngải hạ thư nhân lai kiến.
维问了情节，搜出私书，书中约于八月二十日，从小路运粮送归大寨，却教邓艾遣兵于墵山谷中接应。	Duy lộ vận lương tống quy đại trại, khước giáo đặng ngải khiển binh vu đàm sơn cốc trung tiếp ứng.
维将下书人杀了，却将书中之意，改作八月十五日，约邓艾自率大兵，于墵山谷中接应。	Duy tương hạ thư nhân sát liễu, khước tương thư trung chi ý, cải tác bát nguyệt thập ngũ nhật, ước đặng ngải tự suất đại binh, vu đàm sơn cốc trung tiếp ứng.
一面令人扮作魏军往魏营下书；一面令人将现有粮车数百辆卸了粮米，装载干柴茅草引火之物，用青布罩之，令傅佥引二千原降魏兵，执打运粮旗号。	Nhất diện lệnh nhân phẫn tác ngụy quân vãng ngụy doanh hạ thư; nhất diện lệnh nhân tương hiện hữu lương xa sổ bách lượng tá liễu lương mễ, trang tái can sài mao thảo dẫn hỏa chi vật, dụng thanh bố tráo chi, lệnh phó thiêm dẫn nhị thiên nguyên hàng ngụy binh, chấp đả vận lương kì hào.
维却与夏侯霸各引一军，去山谷中埋伏。	Duy khước dữ hạ hầu bá các dẫn nhất quân, khứ sơn cốc trung mai phục.
令蒋舒出斜谷，廖化、张翼俱各进兵，来取祁山。	Lệnh tương thư xuất tà cốc, liêu hóa, trương dực câu các tiến binh, lai thủ kì sơn.
却说邓艾得了王瓘书信，大喜，急写回书，今来人回报。	Khước thuyết đặng ngải đắc liễu vương quán thư tín, đại hỉ, cấp tả hồi thư, kim lai nhân hồi báo.
至八月十五日，邓艾引五万精兵径往墵山谷中来，远远使人凭高眺探，只见无数粮车，接连不断，从山凹中而行。	Chí bát nguyệt thập ngũ nhật, đặng ngải dẫn ngũ vạn tinh binh kính vãng đàm sơn cốc trung lai, viễn viễn sử nhân bằng cao thiếu tham, chỉ kiến vô số lương xa, tiếp liên bất đoạn, tòng sơn ao trung nhi hành.
艾勒马望之，果然皆是魏兵。	Ngải lặc mã vọng chi, quả nhiên giai thị ngụy binh.
左右曰：“天已昏暮，可速接应王瓘出谷口。	Tả hữu viết: "Thiên dĩ hôn mộ, khả tốc tiếp ứng vương quán xuất cốc khẩu.
”艾曰：“前面山势掩映，倘有伏兵，急难退步；只可在此等候。	" Ngải viết: "Tiền diện sơn thế yểm ánh, thảng hữu phục lương từ con đường nhỏ đem về trại lớn, xin Đặng Ngải dẫn binh binh, cấp nan thối bộ; chỉ khả tại thử đẳng hậu.
”正言间，忽两骑马骤至，报曰：“王将军因将粮草过界，背后人马赶来，望早救应。	" Chánh ngôn gian, hốt lưỡng kỵ mã sậu chí, báo viết: "Vương tướng quân nhân tương lương thảo quá giới, bối hậu nhân mã cản lai, vọng tảo cứu ứng.
”艾大惊，急催兵前进。	" Ngải đại kinh, cấp thôi binh tiền tiến. đến, báo rằng: - Vương tướng

Paragraph 383
时值初更，月明如昼，只听得山后呐喊，艾只道王瓘在山后厮杀。	Thời trị sơ canh, nguyệt minh như trú, chỉ thính đắc sơn hậu nột hảm, ngải chỉ đạo vương quán tại sơn hậu tư sát.
径奔过山后时，忽树林后一彪军撞出，为首蜀将傅佥，纵马大叫曰：“邓艾匹夫！	Kính bôn quá sơn hậu thời, hốt thụ lâm hậu nhất bưu quân chàng xuất, vi thủ thục tương phó thiêm, túng mã đại khiếu viết: "Đặng ngải thất phu!
已中吾主将之计，何不早早下马受死！	Dĩ trung ngô chủ tương chi kế, hà bất tảo tảo hạ mã thụ tử!
”艾大惊，勒回马便走。	" Ngải đại kinh, lặc hồi mã tiện tẩu.
车上火尽着，那火便是号火。	Xa thượng hỏa tẫn trứ, na hỏa tiện thị hào hỏa.
两势下蜀兵尽出，杀得魏兵七断八续，但闻四下山上只叫：“拿住邓艾的，赏千金，封万户侯！	Lưỡng thế hạ thục binh tẫn xuất, sát đắc ngụy binh thất đoạn bát tục, đãn văn tứ hạ sơn thượng chỉ khiếu: "Nã trụ đặng ngải đích, thưởng thiên kim, phong vạn hộ hầu!
”?	" ?
得邓艾弃甲丢盔，撇了坐下马，杂在步军之中，爬山越岭而逃。	đắc đặng ngải khí giáp đâu khôi, phiết liễu tọa hạ mã, tạp tại bộ quân chi trung, ba sơn việt lĩnh nhi đào.
姜维、夏侯霸只望马上为首的径来擒捉，不想邓艾步行走脱。	Khương duy, hạ hầu bá chỉ vọng mã thượng vi thủ đích kính lai cầm tróc, bất tưởng đặng ngải bộ hành tẩu thoát.
维领得胜兵去接王瓘粮车。却说王瓘密约邓艾，先期将粮草车仗，整备停当，专候举事。	Duy lĩnh đắc thắng binh Khước thuyết vương quán mật ước đặng ngải, tiên kì tương lương thảo xa trượng, chỉnh bị đình đương, chuyên hậu cử sự.
忽有心腹人报：“事已泄漏，邓将军大败，不知性命如何。	Hốt hữu tâm phúc nhân báo: "Sự dĩ tiết lậu, đặng tướng quân đại bại, bất tri tính mệnh như hà.
”瓘大惊，令人哨探，回报三路兵围杀将来，背后又见尘头大起，四下无路。	" quán đại kinh, lệnh nhân tiếu tham, hồi báo tam lộ binh vi sát tương lai, bối hậu hựu kiến trần đầu đại khởi, tứ hạ vô lộ.
瓘叱左右令放火，尽烧粮草车辆。	Quán sất tả hữu lệnh phóng hỏa, tẫn thiêu lương thảo xa lượng.
一霎时，火光突起，烈火烧空。	Nhất siếp thời, hỏa quang đột khởi, liệt hỏa thiêu không.
灌大叫曰：“事已急矣！	Quán đại khiếu viết: "Sự dĩ cấp hĩ!
汝等宜死战！	Nhữ đẳng nghi tử chiến!
”乃提兵望西杀出。	" Nãi đề binh vọng tây sát xuất.
背后姜维三路追赶。	Bối hậu khương duy tam lộ truy cản.
维只道王瓘舍命撞回魏国，不想反杀入汉中而去。	Duy chỉ đạo vương quán xá mệnh chàng hồi ngụy quốc, bất tưởng phản sát nhập hán trung nhi khứ.
瓘因兵少，只恐追兵赶上，遂将栈道并各关隘尽皆烧毁。	Quán nhân binh thiểu, chỉ khủng truy binh cản thượng, toại tương sạn đạo tịnh các quan ải tẫn giai thiêu hủy.
姜维恐汉中有失，遂不追邓艾，提兵连夜抄小路来追杀王瓘。	Khương duy khủng hán trung hữu thất, toại bất truy đặng ngải, đề binh liên dạ sao tiểu lộ lai truy sát vương quán.
瓘被四面蜀兵攻击，投黑龙江而死。	Quán bị tứ diện thục binh công kích, đầu hắc long giang nhi tử.
余兵尽被姜维坑之。	Dư binh tẫn bị khương duy khanh chi.
维虽然胜了邓艾，却折了许多粮车，又毁了栈道，乃引兵还汉中。	Duy tuy nhiên thắng liễu đặng ngải, khước chiết liễu hứa đa lương xa, hựu hủy liễu sạn đạo, nãi dẫn binh hoàn hán trung.
邓艾引部下败兵，逃回祁山寨内，上表请罪，自贬其职。	Đặng ngải dẫn bộ hạ bại binh, đào hồi kì sơn trại nội, thắng trận, đến tiếp xe lương của thượng biểu thỉnh tội, tự biếm kì chức.
司马昭见艾数有大功，不忍贬之，复加厚赐。	Tư Mã chiêu kiến ngải sổ hữu đại công, bất nhẫn biếm chi, phục gia hậu tứ.
艾将原赐财物，尽分给被害将士之家。	Ngải tương nguyên tứ tài vật, tẫn phân cấp bị hại tướng sĩ chi gia.
昭恐蜀兵又出，遂添兵五万，与艾守御。	Chiêu khủng thục binh hựu xuất, toại thiêm binh ngũ vạn, dữ ngải thủ ngự.
姜维连夜修了栈道，又议出师。	Khương duy liên dạ tu liễu sạn đạo, hựu nghị xuất sư.
正是：连修栈道兵连出，不伐中原死不休。	Chánh thị: liên tu sạn đạo binh liên xuất, bất phạt trung nguyên tử bất hưu.
未知胜负如何，且看下文分解。	Vị tri thắng phụ như hà, thả khán hạ văn phân giải.
第一百十五回诏班师后主信谗托屯田姜维避祸	Đệ nhất bách thập ngũ hồi chiếu ban sư hậu chủ tín sàm thác truân điền khương duy tị

Paragraph 384
却说蜀汉景耀五年，冬十月，大将军姜维，差人连夜修了栈道，整顿军粮兵器，又于汉中水路调拨船只。	khước thuyết thục hán cảnh diệu ngũ niên, đông thập nguyệt, đại tướng quân khương duy, sai nhân liên dạ tu liễu sạn đạo, chỉnh đốn quân lương binh khí, hựu vu hán trung thủy lộ điều bát thuyền chỉ.
俱已完备，上表奏后主曰：“臣累出战，虽未成大功，已挫动魏人心胆。	Câu dĩ hoàn bị, thượng biểu tấu hậu chủ viết: "Thần luy xuất chiến, tuy vị thành đại công, dĩ tỏa động ngụy nhân tâm đảm.
今养兵日久，不战则懒，懒则致病。	Kim dưỡng binh nhật cửu, bất chiến tắc lãn, lãn tắc trí bệnh.
况今军思效死，将思用命。	Huống kim quân tư hiệu tử, tương tư dụng mệnh.
臣如不胜，当受死罪。	Thần như bất thắng, đương thụ tử tội.
