Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”	"

Paragraph 465
公怒曰：“吾取樊城，只在目前；取了樊城，即当长驱大进，径到许都，剿灭操贼，以安汉室。岂可因小疮而误大事？	Công nộ viết: "Ngô thủ phàn thành, chỉ tại mục tiền; thủ liễu phàn thành, tức đương trường khu đại tiến, kính đáo hứa đô, tiễu diệt thao tặc, dĩ an hán thất.khởi khả nhân tiểu sang nhi ngộ đại sự?
汝等敢慢吾军心耶！	Nhữ đẳng cảm mạn ngô quân tâm da!
”平等默然而退。	"Bình đẳng mặc nhiên nhi thối.
众将见公不肯退兵，疮又不痊，只得四方访问名医。	Chúng tướng kiến công bất khẳng thối binh, sang hựu bất thuyên, chỉ đắc tứ phương phỏng vấn danh y.
忽一日，有人从江东驾小舟而来，直至寨前。	Hốt nhất nhật, hữu nhân tòng giang đông giá tiểu chu nhi lai, trực chí trại tiền.
小校引见关平。	Tiểu giáo dẫn kiến quan bình.
平视其人：方巾阔服，臂挽青囊；自言姓名，乃沛国谯郡人，姓华，名伦，字元化。	Bình thị kì nhân: phương cân khoát phục, tí vãn thanh nang; tự ngôn tính danh, nãi phái quốc tiếu quận nhân, tính hoa, danh luân, tự nguyên hóa.
因闻关将军乃天下英雄，今中毒箭，特来医治。	Nhân văn quan tướng quân nãi thiên hạ anh hùng, kim trung độc tiễn, đặc lai y trì.
平曰：“莫非昔日医东吴周泰者乎？	Bình viết: "Mạc phi tích nhật y đông ngô chu thái giả hồ?
”佗曰：“然。	" Đà viết: "Nhiên.
”	Các tướng thấy

Paragraph 466
平大喜，即与众将同引华佗入帐见关公。	bình đại hỉ, tức dữ chúng tướng đồng dẫn hoa đà nhập trướng kiến quan công.
时关公本是臂疼，恐慢军心，无可消遣，正与马良弈棋；闻有医者至，即召入。	Thời quan công bổn thị tí đông, khủng mạn quân tâm, vô khả tiêu khiển, chánh dữ mã lương dịch kì; văn hữu y giả chí, tức triệu nhập.
礼毕，赐坐。	Lễ tất, tứ tọa.
茶罢，佗请臂视之。	Trà bãi, đà thỉnh tí thị chi.
公袒下衣袍，伸臂令佗看视。	Công đản hạ y bào, thân tí lệnh đà khán thị.
佗曰：“此乃弩箭所伤，其中有乌头之药，直透入骨；若不早治，此臂无用矣。	Đà viết: "Thử nãi nỗ tiễn sở thương, kì trung hữu ô đầu chi dược, trực thấu nhập cốt; nhược bất tảo trì, thử tí vô dụng hĩ.
”公曰：“用何物治之？	" Công viết: "Dụng hà vật trì chi?
”佗曰：“当于静处立一标柱，上钉大环，请君侯将臂穿于环中，以绳系之，然后以被蒙其首。	" Đà viết: "Mỗ tự hữu trì viết: "Đương vu tĩnh xử lập nhất tiêu trụ, thượng đinh đại hoàn, thỉnh quân hầu tương tí xuyên vu hoàn trung, dĩ thằng hệ chi, nhiên hậu dĩ bị mông kì thủ.
吾用尖刀割开皮肉，直至于骨，刮去骨上箭毒，用药敷之，以线缝其口，方可无事。	Ngô dụng tiêm đao cát khai bì nhục, trực chí vu cốt, quát khứ cốt thượng tiễn độc, dụng dược phu chi, dĩ tuyến phùng kì khẩu, phương khả vô sự.
但恐君侯惧耳。	Đãn khủng quân hầu cụ nhĩ.
”公笑曰：“如此，容易！	" Công tiếu viết: "Như thử, dung dị!
何用柱环？	Hà dụng trụ hoàn?
”令设酒席相待。	" Lệnh thiết tửu tịch tương đãi. - Ta coi cái chết như bỡn, có việc gì mà lo sợ?

Paragraph 467
公饮数杯酒毕，一面仍与马良弈棋，伸臂令佗割之。	công ẩm sổ bôi tửu tất, nhất diện nhưng dữ mã lương dịch kì, thân tí lệnh đà cát chi.
佗取尖刀在手，令一小校捧一大盆于臂下接血。	Đà thủ tiêm đao tại thủ, lệnh nhất tiểu giáo phủng nhất đại bồn vu tí hạ tiếp huyết.
佗曰：“某便下手，君侯勿惊。	Đà viết: "Mỗ tiện hạ thủ, quân hầu vật kinh.
”公曰：“任汝医治，吾岂比世间俗子惧痛者耶！	" Công viết: "Nhâm nhữ y trì, ngô khởi bỉ thế gian tục tử cụ thống giả da!
”佗乃下刀，割开皮肉，直至于骨，骨上已青；佗用刀刮骨，悉悉有声。	" Đà nãi hạ đao, cát khai bì nhục, trực chí vu cốt, cốt thượng dĩ thanh; đà dụng đao quát cốt, tất tất hữu thanh.
帐上帐下见者，皆掩面失色。	Trướng thượng trướng hạ kiến giả, giai yểm diện thất sắc.
公饮酒食肉，谈笑弈棋，全无痛苦之色。	Công ẩm tửu thực nhục, đàm tiếu dịch kì, toàn vô thống khổ chi sắc.
须臾，血流盈盆。	Tu du, huyết lưu doanh bồn.
佗刮尽其毒，敷上药，以线缝之。	Đà quát tẫn kì độc, phu chi.
公大笑而起，谓众将曰：“此臂伸舒如故，并无痛矣。	Công đại tiếu nhi khởi, vị chúng tướng viết: "Thử tí thân thư như cố, tịnh vô thống hĩ.
先生真神医也！	Tiên sinh chân thần y dã!
”佗曰：“某为医一生，未尝见此。	" Đà viết: "Mỗ vi y nhất sinh, vị thường kiến thử.
君侯真天神也！	Quân hầu chân thiên thần dã!
”后人有诗曰：“治病须分内外科，世间妙艺苦无多。	" Hậu nhân hữu thi viết: "Trị bệnh tu phân nội ngoại khoa, thế gian diệu nghệ khổ vô đa.
神威罕及惟关将，圣手能医说华佗。	Thần uy hãn cập duy quan tương, thánh thủ năng y thuyết hoa đà.
”	" tiếng, đứng dậy bảo với các tướng

Paragraph 468
关公箭疮既愈，设席款谢华佗。	quan công tiễn sang kí dũ, thiết tịch khoản tạ hoa đà.
佗曰：“君侯箭疮虽治，然须爱护。	Đà viết: "Quân hầu tiễn sang tuy trì, nhiên tu ái hộ.
切勿怒气伤触。	Thiết vật nộ khí thương xúc.
过百日后，平复如旧矣。	Quá bách nhật hậu, bình phục như cựu hĩ.
”关公以金百两酬之。	" Quan công dĩ kim bách lưỡng thù chi.
佗曰：“某闻君侯高义，特来医治，岂望报乎！	Đà viết: "Mỗ văn quân hầu cao nghĩa, đặc lai y trì, khởi vọng báo hồ!
”坚辞不受，留药一帖，以敷疮口，辞别而去。	" Kiên từ bất thụ, lưu dược nhất thiếp, dĩ phu sang khẩu, từ biệt nhi khứ.

Paragraph 469
却说关公擒了于禁，斩了庞德，威名大震，华夏皆惊。	khước thuyết quan công cầm liễu vu cấm, trảm liễu bàng đức, uy danh đại chấn, hoa hạ giai kinh.
探马报到许都，曹操大惊，聚文武商议曰：“某素知云长智勇盖世，今据荆襄，如虎生翼。	Tham mã báo đáo hứa đô, tào thao đại kinh, tụ văn võ thương nghị viết: "Mỗ tố tri vân trường trí dũng cái thế, kim cư kinh tương, như hổ sinh dực.
于禁被擒，庞德被斩，魏兵挫锐；倘彼率兵直至许都，如之奈何？	Vu cấm bị cầm, bàng đức bị trảm, ngụy binh tỏa nhuệ; thảng bỉ suất binh trực chí hứa đô, như chi nại hà?
孤欲迁都以避之。	Cô dục thiên đô dĩ tị chi.
”司马懿谏曰：“不可。	" Tư Mã ý gián viết: "Bất khả.
于禁等被水所淹，非战之故；于国家大计，本无所损。	Vu cấm đẳng bị thủy sở yêm, phi chiến chi cố; vu quốc gia đại kế, bổn vô sở tổn.
今孙、刘失好，云长得志，孙权必不喜；大王可遣使去东吴陈说利害，令孙权暗暗起兵蹑云长之后，许事平之日，割江南之地以封孙权，则樊城之危自解矣。	Kim tôn, lưu thất hảo, vân trường đắc chí, tôn quyền tất bất hỉ; đại vương khả khiển sử khứ đông ngô trần thuyết lợi hại, lệnh tôn quyền ám ám khởi binh niếp vân trường chi hậu, hứa sự bình chi nhật, cát giang nam chi địa dĩ phong tôn quyền, tắc phàn thành chi nguy tự giải hĩ.
”主簿蒋济曰：“仲达之言是也。	" Chủ bộ tương tể viết: "Trọng đạt chi ngôn thị dã.
今可即发使往东吴，不必迁都动众。	Kim khả tức phát sử vãng đông ngô, bất tất thiên đô động chúng.
”	"

Paragraph 470
操依允，遂不迁都；因叹谓诸将曰：“于禁从孤三十年，何期临危反不如庞德也！	thao y duẫn, toại bất thiên đô; nhân thán vị chư tướng viết: "Vu cấm tòng cô tam thập niên, hà kì lâm nguy phản bất như bàng đức dã!
今一面遣使致书东吴，一面必得一大将以当云长之锐。	Kim nhất diện khiển sử trí thư đông ngô, nhất diện tất đắc nhất đại tướng dĩ đương vân trường chi nhuệ.
”言未毕，阶下一将应声而出曰：“某愿往。	" Ngôn vị tất, giai hạ nhất tương ứng thanh nhi xuất viết: "Mỗ nguyện vãng.
”操视之，乃徐晃也。	" Thao thị chi, nãi từ hoảng dã.
操大喜，遂拨精兵五万，令徐晃为将，吕建副之，克日起兵，前到阳陵坡驻扎；看东南有应，然后征进。	Thao đại hỉ, toại bát tinh binh ngũ vạn, lệnh từ hoảng vi tương, lữ kiến phó chi, khắc nhật khởi binh, tiền đáo dương lăng pha trú trát; khán đông nam hữu ứng, nhiên hậu chinh tiến.

Paragraph 471
却说孙权接得曹操书信，览毕，欣然应允，即修书发付使者先回，乃聚文武商议。	khước thuyết tôn quyền tiếp đắc tào thao thư tín, lãm tất, hân nhiên ứng duẫn, tức tu thư phát phó sứ giả tiên hồi, nãi tụ văn võ thương nghị.
张昭曰：“近闻云长擒于禁，斩庞德，威震华夏，操欲迁都以避其锋。	Trương chiêu viết: "Cận văn vân trường cầm vu cấm, trảm bàng đức, uy chấn hoa hạ, thao dục thiên đô dĩ tị kì phong.
今樊城危急，遣使求救，事定之后，恐有反覆。	Kim phàn thành nguy cấp, khiển sử cầu cứu, sự định chi hậu, khủng hữu phản phúc.
”权未及发言，忽报吕蒙乘小舟自陆口来，有事面禀。	" Quyền vị cập phát ngôn, hốt báo lữ mông thừa tiểu chu tự lục khẩu lai, hữu sự diện bẩm.
权召入问之，蒙曰：“今云长提兵围樊城，可乘其远出，袭取荆州。	Quyền triệu nhập vấn chi, mông viết: "Kim vân trường đề binh vi phàn thành, khả thừa kì viễn xuất, tập thủ kinh châu.
”权曰：“孤欲北取徐州，如何？	" Quyền viết: "Cô dục bắc thủ từ châu, như hà?
”蒙曰：“今操远在河北，未暇东顾，徐州守兵无多，往自可克；然其地势利于陆战，不利水战，纵然得之，亦难保守。	" Mông viết: "Kim thao viễn tại hà bắc, vị hạ đông cố, từ châu thủ binh vô đa, vãng tự khả khắc; nhiên kì địa thế lợi vu lục chiến, bất lợi thủy chiến, túng nhiên đắc chi, diệc nan bảo thủ.
不如先取荆州，全据长江，别作良图。	Bất như tiên thủ kinh châu, toàn cư trường giang, biệt tác lương đồ.
”权曰：“孤本欲取荆州，前言特以试卿耳。	" Quyền viết: "Cô bổn dục thủ kinh châu, tiền ngôn đặc dĩ thí khởi binh dã.
卿可速为孤图之。	" thôi!
孤当随后便起兵也。”	Ngươi nên tính ngay việc ấy cho ta, ta cũng cất quân ngay để

Paragraph 472
吕蒙辞了孙权，回至陆口，早有哨马报说：“沿江上下，或二十里，或三十里，高阜处各有烽火台。	lữ mông từ liễu tôn quyền, hồi chí lục khẩu, tảo hữu tiếu mã báo thuyết: "Duyên giang thượng hạ, hoặc nhị thập lí, hoặc tam thập lí, cao phụ xử các hữu phong hỏa đài.
”又闻荆州军马整肃，预有准备，蒙大惊曰：“若如此，急难图也。	" Hựu văn kinh châu quân mã chỉnh túc, dự hữu chuẩn bị, mông đại kinh viết: "Nhược như thử, cấp nan đồ dã.
我一时在吴侯面前劝取荆州，今却如何处置？	Ngã nhất thời tại ngô hầu diện tiền khuyến thủ kinh châu, kim khước như hà xứ trí?
”寻思无计，乃托病不出，使人回报孙权。	" Tầm tư vô kế, nãi thác bệnh bất xuất, sử nhân hồi báo tôn quyền.
权闻吕蒙患病，心甚怏怏。	Quyền văn lữ mông hoạn bệnh, tâm thậm ưởng ưởng.
陆逊进言曰：“吕子明之病，乃诈耳，非真病也。	Lục tốn tiến ngôn viết: "Lữ tử minh chi bệnh, nãi trá nhĩ, phi chân bệnh dã.
”权曰：“伯言既知其诈，可往视之。	" Quyền viết: "Bá ngôn kí tri kì trá, khả vãng thị chi.
”陆逊领命，星夜至陆口寨中，来见吕蒙，果然面无病色。	" Lục tốn lĩnh mệnh, tinh dạ chí lục khẩu trại trung, lai kiến lữ mông, quả nhiên diện vô bệnh sắc.
逊曰：“某奉吴侯命，敬探子明贵恙。	Tốn viết: "Mỗ phụng ngô hầu mệnh, kính tham tử minh quý dạng.
”蒙曰：“贱躯偶病，何劳探问。	" Mông viết: "Tiện khu ngẫu bệnh, hà lao tham vấn.
”逊曰：“吴侯以重任付公，公不乘时而动，空怀郁结，何也？	" Tốn viết: "Ngô hầu dĩ trọng nhâm phó công, công bất thừa thời nhi động, không hoài úc kết, hà dã?
”蒙目视陆逊，良久不语。	" Mông mục thị lục tốn, lương cửu bất ngữ.
逊又曰：“愚有小方，能治将军之疾，未审可用否？	Tốn hựu viết: dụng phủ?
”蒙乃屏退左右而问曰：“伯言良方，乞早赐教。	" Mông nãi bình thối tả hữu nhi vấn viết: "Bá ngôn lương phương, khất tảo tứ giáo.
”逊笑曰：“子明之疾，不过因荆州兵马整肃，沿江有烽火台之备耳。	" Tốn tiếu viết: "Tử minh chi tật, bất quá nhân kinh châu binh mã chỉnh túc, duyên giang hữu phong hỏa đài chi bị nhĩ.
予有一计，令沿江守吏，不能举火；荆州之兵，束手归降，可乎？	Dư hữu nhất kế, lệnh duyên giang thủ lại, bất năng cử hỏa; kinh châu chi binh, thúc thủ quy hàng, khả hồ?
”蒙惊谢曰：“伯言之语，如见我肺腑。	" Mông kinh tạ viết: "Bá ngôn chi ngữ, như kiến ngã phế phủ.
